position,name,party,votes,flag,municipality,year
,ALVES . DA . ANUNCIAÇÃO ...,MDB.,2.045......,0,agudo,1972
VP -,GERALDO LOSEKANN,MDB.,2.045......,0,agudo,1972
Þ,HILDOR MAX LOSEKANN,ARENA,1.745,0,agudo,1972
VP -,RUI FERREIRA FEHN,ARENA,1.745,0,agudo,1972
-,,ARENA,.1.051,0,agudo,1972
P — -,.ENÁR ARENT ERNTS .,ARENA,.1.051,0,agudo,1972
VP -,RUI FERREIRA FEHN,MDB.......,873,0,agudo,1972
,PAULO WILHELM,MDB.......,873,0,agudo,1972
P -,NOTÉLIO MARIOTTI,ARENA,2.922,0,ajuricaba,1972
VP,HAROLDO WERNER LINAUER,ARENA,2.922,0,ajuricaba,1972
,,,,1,alecrim,1972
Р,Adão Ortiz Houayek,MDB,11911,0,alegrete,1972
-,Airtom Pacheco do Amaral,MDB,11911,0,alegrete,1972
·,Brasilêncio Lopes Machado ·,ARENA-2,7360,0,alegrete,1972
,José Rubens Pillar,ARENA-2,7360,0,alegrete,1972
,Ary Faria Marimon,ARENA-1,3193,0,alegrete,1972
- VP,Claudio Amildon Rosso .,ARENA-1,3193,0,alegrete,1972
P-,Arlindo de Souza,ARENA-2,1.785,0,alpestre,1972
,Inácio Lavinicki,ARENA-2,1.785,0,alpestre,1972
-,Carlos Celeste Meotti,ARENA-1,807,0,alpestre,1972
- VP,Inácio Lavinicki,ARENA-1,807,0,alpestre,1972
P,ELIZARDO . DUARTE NETO ....,MDB2,4075,0,alvorada,1972
VP,UBIRAJARA LEXO,MDB2,4075,0,alvorada,1972
P,NORMELIO PEREIRA,MDB1,...11.76,0,alvorada,1972
[ VP pans,pans CLAUDIO LOPES FEIJÓ,MDB1,...11.76,0,alvorada,1972
-,JOÃO GILBERTO VIEIRA DA,ARENA1,41896,0,alvorada,1972
VP,MAGNO JOSE FAUTH .,ARENA1,41896,0,alvorada,1972
P,TRAJANO PINHEIRO MACHADO,ARENA3...,.1735,0,alvorada,1972
VP,JOSE LUIZ MESSIAS,ARENA3...,.1735,0,alvorada,1972
- P-,- NEORI LUIZ DALLA VECCHIA,ARENA,1.308,0,anta-gorda,1972
VP,TELMO LUIZ AROSSI,ARENA,1.308,0,anta-gorda,1972
P,ARMINHO MIOTTO,MDB,1.130,0,anta-gorda,1972
.,,MDB,1.130,0,anta-gorda,1972
- • P,• VICTORIO DOTTI,.MDB....,..3..291......,0,antonio-prado,1972
VP,Affonso.Ciotta .,.MDB....,..3..291......,0,antonio-prado,1972
P-,,MDB.2.....,2.119....,0,aratiba,1972
VP,• Genering . Rech .,MDB.2.....,2.119....,0,aratiba,1972
,Şanto.João..Lando … .,_MDB.1,...4.8.9...,0,aratiba,1972
P - •,- . . Avelino . Bertoncello ....,_MDB.1,...4.8.9...,0,aratiba,1972
- - .,,ARENA1.,1.028,0,aratiba,1972
VP •,Mercial Rudy Velandro ... •,ARENA1.,1.028,0,aratiba,1972
,. •,ARENA.3...,.436....,0,aratiba,1972
,Valdir..DIONisio Pavan ..,ARENA.3...,.436....,0,aratiba,1972
VP,Hugo . Jose..Griebler .,ARENA2.,..247....,0,aratiba,1972
P,Cosvine . Hermes ..,ARENA2.,..247....,0,aratiba,1972
Р _,ARNESTO DALPIAN,M.D.B,4.005....,0,arroio-do-meio,1972
VP -,BENNO ARNO SCHMIDT,M.D.B,4.005....,0,arroio-do-meio,1972
P_,ALDO TERCEU THOMÉ,ARENA,3.395,0,arroio-do-meio,1972
VP,MILTON HALMENSCHLAGER,ARENA,3.395,0,arroio-do-meio,1972
,SCHANNE,1,1.332,0,arroio-do-tigre,1972
,JORGE ETGES,1,1.332,0,arroio-do-tigre,1972
-,JOÃO DALCI COSTA,2,1.858,0,arroio-do-tigre,1972
,RODOLFO SPACIL,2,1.858,0,arroio-do-tigre,1972
- VP,ANTONIO PEDRO SCHUSTER,3.,656,0,arroio-do-tigre,1972
P,,3.,656,0,arroio-do-tigre,1972
P,Naro Pereira . da . Silva,ARENA-1,1.306,0,arroio-dos-ratos,1972
VP,José Carlos Silva Silveira,ARENA-1,1.306,0,arroio-dos-ratos,1972
P,Noé Veriato dos Santos,ARENA-2,570,0,arroio-dos-ratos,1972
VP -,Arthur . Christmann ..,ARENA-2,570,0,arroio-dos-ratos,1972
P ސ,Helio . Menezes . Chagastelles,MDB-1,718,0,arroio-dos-ratos,1972
VP -,Dinarte Ferreira da Silva .,MDB-1,718,0,arroio-dos-ratos,1972
Р -,Aucyr . Barreto .,MDB-2...,.5.52.......,0,arroio-dos-ratos,1972
VP,Pedro Divo de Souza e . Silva,MDB-2...,.5.52.......,0,arroio-dos-ratos,1972
,SOARES . TEIXEIRA,M.B.B.,2.243,0,arroio-grande,1972
VP -,DIRCEU BREITAS,M.B.B.,2.243,0,arroio-grande,1972
P -,ANTONIO PAULO F.FERREIRA,ARENA,2.074,0,arroio-grande,1972
VP -,,ARENA,2.074,0,arroio-grande,1972
P -,Aniceto Paganini,ARENA-1,1.022,0,arvorezinha,1972
VP -,Neny Bertol,ARENA-1,1.022,0,arvorezinha,1972
. P,.,ARENA-2,853,0,arvorezinha,1972
VP -,,ARENA-2,853,0,arvorezinha,1972
-,Darny Hilário Gehlen Adelmir Bonumete Fornari,ARENA-3,246✓,0,arvorezinha,1972
,Angelo Romanini,ARENA-3,246✓,0,arvorezinha,1972
P,,MDB-1,1.397✓,0,arvorezinha,1972
- VP-,Nelson Pedro Felipe Tomé,MDB-1,1.397✓,0,arvorezinha,1972
- P,Luiz Claudio Sabedotti,MDB-2,330✓,0,arvorezinha,1972
VP -d,Olimpio Sutilli,MDB-2,330✓,0,arvorezinha,1972
P - 4,Pedro Gito de Farias,MDB-3,199*,0,arvorezinha,1972
,4,MDB-3,199*,0,arvorezinha,1972
P -,ARY HINTZ,ARENA,2388,0,augusto-pestana,1972
VP,EZAURI FRANCISCO DEBONI,ARENA,2388,0,augusto-pestana,1972
,,,,1,bage,1972
P-,JOÃO BALCIUNAS,_ARENA2.,1.376.....,0,barao-de-cotegipe,1972
VP -,JUVENTILIO GALLINA,_ARENA2.,1.376.....,0,barao-de-cotegipe,1972
P-,TADEU TRZCINSKI,ARENA1,356,0,barao-de-cotegipe,1972
VP,JUVENTILIO GALLINA,ARENA1,356,0,barao-de-cotegipe,1972
P.,JOSÉ GATTINO,ARENA-1...,1.574.....,0,barra-do-ribeiro,1972
VP 1,JOSE ADAO SCHIMITT,ARENA-1...,1.574.....,0,barra-do-ribeiro,1972
P.,WALTER . MACIEL .,ARENA-2....,195.,0,barra-do-ribeiro,1972
VP,ARNO JAEGER,ARENA-2....,195.,0,barra-do-ribeiro,1972
P -,JOSÉ CARLOS WURDIG,..M..D..B.-2....,996,0,barra-do-ribeiro,1972
VP . -,ARY VIZEU ALBUQUERQUE,..M..D..B.-2....,996,0,barra-do-ribeiro,1972
-,SIVAL HOFF PEREIRA,M.D.B-1,508,0,barra-do-ribeiro,1972
VP,ARY VIZEU ALBUQUERQUE,M.D.B-1,508,0,barra-do-ribeiro,1972
P-,HENRIQUE TONIAL,ARENA:1,463...,0,barracao,1972
VP -,JOÃO BRAGATO,ARENA:1,463...,0,barracao,1972
- P,PEDRO MACHADO PEREIRA .,ARENA-2...,755,0,barracao,1972
VP-,JOÃO BRAGATO,ARENA-2...,755,0,barracao,1972
VP 1,ARLINDO GRADIN 1 LUIZ SOARES DA ROSA .,M.D.B.-1,.430...,0,barracao,1972
- P -,JOAQUIM LEITE DO PRADO .,M.D.B.-1,.430...,0,barracao,1972
P,,M.D.B.-2.,595,0,barracao,1972
VP -,ARLINDO GRADIN -,M.D.B.-2.,595,0,barracao,1972
,JOÃO DOS SANTOS ALMEIDA,ARENA,2.199,0,barros-cassal,1972
VP 1.,Ivo Faller ...,ARENA,2.199,0,barros-cassal,1972
P,DARCY POZZA,ARENA-1,7.258,0,bento-goncalves,1972
VP,JAIRO CELSO FILIPPON,ARENA-1,7.258,0,bento-goncalves,1972
P,ULYSSES VICENTE TOMASINI,ARENA-2,3.410,0,bento-goncalves,1972
VP,JAIRO CELSO FILIPPON,ARENA-2,3.410,0,bento-goncalves,1972
P,MILTON ROSA,MDB,8.185,0,bento-goncalves,1972
VP,RUBENS LAHUDE,MDB,8.185,0,bento-goncalves,1972
P,João Erno Christ,ARENA,2.202,0,boa-vista-do-burica,1972
VP,Thelmo Waldemar Camara,ARENA,2.202,0,boa-vista-do-burica,1972
P -,,-,,0,boa-vista-do-burica,1972
VP,,-,,0,boa-vista-do-burica,1972
P _,LEANDRO SCHUNDEN VIEIRA,ARENA-1.,3.138,0,bom-jesus,1972
VP -,Luiz Antônio Dutra,ARENA-1.,3.138,0,bom-jesus,1972
P,LUIZ SGARBI FONSECA,ARENA..2..,....4.447...,0,bom-jesus,1972
VP,,ARENA..2..,....4.447...,0,bom-jesus,1972
P -,Egon Harry Lipp,ARENA-1,1.623,0,bom-retiro-do-sul,1972
VP,Carlos Alberto Herrmann,ARENA-1,1.623,0,bom-retiro-do-sul,1972
P,Augusto Fiegenbaum,ARENA2B,432,0,bom-retiro-do-sul,1972
VP -,Yrajá Luiz Barros de Moraes,ARENA2B,432,0,bom-retiro-do-sul,1972
P,Helio Musskopf,.M.D.B.-1,1.171,0,bom-retiro-do-sul,1972
VP -,João Pedro da Costa,.M.D.B.-1,1.171,0,bom-retiro-do-sul,1972
-,Telmo Cezar da Silva,M.D.B.-2,288,0,bom-retiro-do-sul,1972
P -,,M.D.B.-2,288,0,bom-retiro-do-sul,1972
P -,JOÃO CÂNDIDO DUTRA .,ARENA,1.397,0,bossoroca,1972
VP -,RUY ALVES FAGUNDES,ARENA,1.397,0,bossoroca,1972
,Danilo Machado,ARENALEGENDAOU,རྟང།.,0,braga,1972
VP P -,Kimiecki,ARENALEGENDAOU,རྟང།.,0,braga,1972
- P _,Bento Ramiro Simon .,ARENA,172,0,braga,1972
VP _,Matter,ARENA,172,0,braga,1972
P _,Correa de Souza ..,M.D.B.,329,0,braga,1972
VP,Venzo .,M.D.B.,329,0,braga,1972
P,Scherer,M.D.B....,176.,0,braga,1972
VP _,Divino Brezolin,M.D.B....,176.,0,braga,1972
P,Rubem Coelho Carvalho,..ARENA-1,1.539.....,0,butia,1972
VP -,Job Almeida da Silva,..ARENA-1,1.539.....,0,butia,1972
,Zeferino Gonçalves de,ARENA...3,.831..,0,butia,1972
VP P -,Aliprando Conter,ARENA...3,.831..,0,butia,1972
P.,Gastão Hoff,ARENA-2,728,0,butia,1972
VP,Estevan Wisniewski,ARENA-2,728,0,butia,1972
P -,.. Ruy . Carvalho Saraiva ..,MDB-2..,2.232.....,0,butia,1972
VP -,Honorio Machado Cunda,MDB-2..,2.232.....,0,butia,1972
P -,Agenor . Cunha . Gonçalves .,MDB-1.,37.8.,0,butia,1972
VP,Norberto Nugent de Mello,MDB-1.,37.8.,0,butia,1972
P -,Alcides Jose Saldanha,MDB......,5.0.26........,0,cacapava-do-sul,1972
